Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Feinstaub (PM10);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte

Dez 2010;34;66;62;160;
Jan 2011;24;64;55;148;
Feb 2011;46;63;52;142;
Mär 2011;37;72;50;148;
Apr 2011;29;63;36;119;
Mai 2011;25;70;41;134;
Jun 2011;17;59;33;110;
Jul 2011;16;57;35;111;
Aug 2011;23;67;44;134;
Sep 2011;25;77;65;176;
Okt 2011;29;69;69;174;
Nov 2011;53;78;90;216;
Dez 2011;15;51;44;118;
Jan 2012;28;50;42;115;
Feb 2012;29;54;42;118;
Mär 2012;30;56;41;118;
Apr 2012;23;67;47;139;
Mai 2012;24;61;39;120;
Jun 2012;21;57;35;111;
Jul 2012;20;60;36;115;
Aug 2012;24;65;42;128;
Sep 2012;19;60;43;126;
Okt 2012;23;68;67;170;
Nov 2012;30;64;69;169;
Dez 2012;30;65;66;165;
Jan 2013;27;54;46;124;
Feb 2013;30;57;44;124;
Mär 2013;32;65;43;131;
Apr 2013;30;69;44;137;
Mai 2013;24;68;43;134;
Jun 2013;20;58;35;112;
Jul 2013;22;59;32;108;
Aug 2013;24;72;43;137;
Sep 2013;;60;46;129;
Okt 2013;25;69;60;160;
Nov 2013;19;60;51;138;
Dez 2013;19;60;61;154;
Jan 2014;;61;59;151;
Feb 2014;;70;63;167;
Mär 2014;;67;51;146;
Apr 2014;;61;42;125;
Mai 2014;;52;32;102;
Jun 2014;;56;35;110;
Jul 2014;;64;38;122;
Aug 2014;;60;40;121;
Sep 2014;;69;49;144;
Okt 2014;;71;74;183;
Nov 2014;;64;73;175;
Dez 2014;;50;48;123;
Jan 2015;;47;41;109;
Feb 2015;;56;49;132;
Mär 2015;;55;40;116;
Apr 2015;;51;30;97;
Mai 2015;;51;31;99;
Jun 2015;;51;32;99;
Jul 2015;;51;32;99;
Aug 2015;;63;40;123;
Sep 2015;;54;46;123;
Okt 2015;;59;69;165;
Nov 2015;;50;64;147;
Dez 2015;;48;51;125;
Jan 2016;;50;57;138;
Feb 2016;;46;41;108;
Mär 2016;;50;44;117;
Apr 2016;;53;38;111;
Mai 2016;;51;32;100;
Jun 2016;;56;37;113;
Jul 2016;;48;32;96;
Aug 2016;;51;37;107;
Sep 2016;;65;49;139;
Okt 2016;;44;51;121;
Nov 2016;;52;60;143;
Dez 2016;;48;49;124;
Jan 2017;;52;49;127;
Feb 2017;;51;46;122;
Mär 2017;;52;37;110;
Apr 2017;;38;21;70;
Mai 2017;;48;28;91;
Jun 2017;;42;23;77;
Jul 2017;;42;26;82;
Aug 2017;;47;27;89;
Sep 2017;;44;33;95;
Okt 2017;;39;31;86;
Nov 2017;;44;38;103;
Dez 2017;;39;30;84;
Jan 2018;;42;37;98;
Feb 2018;;52;44;120;
Mär 2018;;49;35;102;
Apr 2018;;47;26;86;
Mai 2018;;42;22;75;
Jun 2018;;32;15;56;
Jul 2018;;38;21;70;
Aug 2018;;43;20;73;
Sep 2018;;47;26;86;
Okt 2018;;49;35;102;
Nov 2018;;47;45;115;
Dez 2018;;35;30;80;
Jan 2019;;35;24;71;
Feb 2019;;45;29;88;
Mär 2019;;29;15;52;
Apr 2019;;34;18;60;
Mai 2019;;28;12;47;
Jun 2019;;35;14;57;
Jul 2019;;23;9;37;
Aug 2019;;37;15;60;
Sep 2019;;32;16;57;
Okt 2019;;35;25;74;
Nov 2019;;36;31;84;
Dez 2019;;37;28;79;
Jan 2020;;34;21;67;
Feb 2020;;27;14;48;
Mär 2020;;27;12;46;
Apr 2020;;20;6;29;
Mai 2020;;20;8;32;
Jun 2020;;21;9;36;
Jul 2020;;20;9;34;
Aug 2020;;29;10;45;
Sep 2020;;32;14;54;
Okt 2020;;25;14;45;30
Nov 2020;;26;17;51;23
Dez 2020;;26;21;58;16
Jan 2021;;22;11;39;30
Feb 2021;;29;16;53;37
Mär 2021;;27;13;47;50
Apr 2021;;17;6;26;68
Mai 2021;;18;7;28;66
Jun 2021;;20;6;29;79
Jul 2021;;;;;
Aug 2021;;18;8;30;55
Sep 2021;;23;10;38;45
Okt 2021;;27;14;48;36
Nov 2021;;26;16;51;26
Dez 2021;;26;15;50;23
Jan 2022;;19;8;31;42
Feb 2022;;17;8;29;53
Mär 2022;;27;10;43;56
Apr 2022;;16;6;25;67
Mai 2022;;16;6;24;71
Jun 2022;;16;6;25;76
Jul 2022;;14;5;21;68
Aug 2022;;18;6;27;66
Sep 2022;;19;10;34;45
Okt 2022;;24;16;49;26
Nov 2022;;24;17;50;18